Date,Episode,Hour,Action,Battery_Energy,System_Loss
2024-12-03,1,1,"[0.52909916639328, -0.3260613977909088, -0.4689074158668518, 0.38036128878593445, -0.43691644072532654]",1.4814828169345855,1.6845268655521695
2024-12-03,1,2,"[0.5843442678451538, -0.2990012466907501, -0.4027870297431946, 0.47231706976890564, -0.4711796045303345]",0.9088254344463348,1.6491339638621965
2024-12-03,1,3,"[0.5342493057250977, -0.2702648937702179, -0.44880014657974243, 0.4600277245044708, -0.4543633759021759]",0.8,1.403136771101735
2024-12-03,1,4,"[0.48394742608070374, -0.3125027120113373, -0.4474715292453766, 0.32698890566825867, -0.41277870535850525]",0.8,1.2071151615025426
2024-12-03,1,5,"[0.42752605676651, -0.4249328374862671, -0.4886809289455414, 0.20652271807193756, -0.33590683341026306]",0.8,1.2482940500292288
2024-12-03,1,6,"[0.4492048919200897, -0.4010908901691437, -0.4182129204273224, 0.18564210832118988, -0.37978625297546387]",0.8,1.5415613754978315
2024-12-03,1,7,"[0.5345067381858826, -0.34452024102211, -0.38021671772003174, 0.39380887150764465, -0.4397175908088684]",0.8,1.9861168266743392
2024-12-03,1,8,"[0.5603829622268677, -0.5653172731399536, -0.306109756231308, 0.3822723925113678, -0.5015503764152527]",0.8,1.9734912037096946
2024-12-03,1,9,"[0.557344377040863, -0.6847272515296936, -0.4005705416202545, 0.33544379472732544, -0.5469738245010376]",0.8,2.2330651717878656
2024-12-03,1,10,"[0.6503154039382935, -0.7498456835746765, -0.45621585845947266, 0.25909170508384705, -0.5121389627456665]",0.8,2.4680511115608947
2024-12-03,1,11,"[0.638161838054657, -0.7313972115516663, -0.4791797995567322, 0.25713470578193665, -0.5071321129798889]",0.8,2.7644909694702076
2024-12-03,1,12,"[0.7828726172447205, -0.7587528228759766, -0.5035268068313599, 0.3863198757171631, -0.6075229048728943]",0.8,3.0789250602668576
2024-12-03,1,13,"[0.8563491702079773, -0.8106542229652405, -0.5197299122810364, 0.35704660415649414, -0.6658058166503906]",0.8,2.6194123113873866
