Date,Episode,Hour,Action,Battery_Energy,System_Loss
2024-11-27,1,24,"[0.07305848598480225, -0.13620246946811676, -0.8824383020401001, -0.431427925825119, -0.6114419102668762]",1.4526629738509653,398.5933699349415
2024-11-27,2,1,"[0.11611431837081909, -0.07321080565452576, -0.8771399259567261, -0.38973382115364075, -0.6534702181816101]",2.1137920320034027,415.0779397616638
2024-11-27,2,2,"[0.08121603727340698, -0.10994464159011841, -0.8810118436813354, -0.36555296182632446, -0.6484695076942444]",2.1933837485313417,401.5917007517814
2024-11-27,2,3,"[0.13028617203235626, -0.09204471856355667, -0.8774341940879822, -0.3594532012939453, -0.6383901238441467]",2.321064197123051,450.6853309907705
2024-11-27,2,4,"[-0.11764799803495407, -0.19576427340507507, -0.8530703186988831, -0.3128744065761566, -0.7154571413993835]",2.205769159048796,445.9096758643703
2024-11-27,2,5,"[-0.13754595816135406, -0.2279585301876068, -0.8344517946243286, -0.2775045931339264, -0.7246288061141968]",2.070974120050669,472.16129499007553
2024-11-27,2,6,"[-0.047394637018442154, -0.19620907306671143, -0.8738781809806824, -0.35925835371017456, -0.7026922106742859]",2.0245273757725957,541.0404953289705
2024-11-27,2,7,"[-0.2921927571296692, -0.30377575755119324, -0.9029311537742615, -0.2993045747280121, -0.785338282585144]",1.73817847378552,734.5109667709314
2024-11-27,2,8,"[0.07878047972917557, 0.1892484873533249, -0.9935833811759949, -0.26835694909095764, -0.90934818983078]",1.815383343920112,850.4058559629462
2024-11-27,2,9,"[0.17920377850532532, -0.07030511647462845, -0.9972625970840454, -0.4616851806640625, -0.9407737851142883]",1.9910030468553308,929.5977135467709
2024-11-27,2,10,"[0.5994647741317749, 0.18427805602550507, -0.9991844892501831, -0.57192462682724, -0.9696911573410034]",2.57847852550447,964.073817812866
2024-11-27,2,11,"[0.7286887764930725, 0.374512642621994, -0.9996451735496521, -0.3765188455581665, -0.9778728485107422]",3.292593526467681,953.4482827417561
2024-11-27,2,12,"[0.6503298282623291, 0.11552992463111877, -0.9994713664054871, -0.4025764465332031, -0.9774875044822693]",3.6,931.4536684974943
2024-11-27,2,13,"[0.46703585982322693, -0.21194498240947723, -0.9987213015556335, -0.44575029611587524, -0.9750407338142395]",3.6,984.682200456172
2024-11-27,2,14,"[0.6116037368774414, 0.32840290665626526, -0.9994951486587524, -0.46412375569343567, -0.9824090600013733]",3.6,1012.4446580799747
2024-11-27,2,15,"[0.6160017251968384, 0.22520163655281067, -0.9995593428611755, -0.4312305450439453, -0.9841989278793335]",3.6,975.5164978833864
2024-11-27,2,16,"[0.6104810237884521, 0.29971182346343994, -0.9994570016860962, -0.42572808265686035, -0.9814915657043457]",3.6,958.1323920245563
2024-11-27,2,17,"[0.5083286762237549, 0.4368187189102173, -0.998916506767273, -0.45654210448265076, -0.9799112677574158]",3.6,710.093320614942
