Date,Episode,Total_Reward,Total_Loss
2024-11-27,112,-6103.42112886429,5730.8076877882395
2024-11-27,113,-11021.103750738515,10663.341685262289
2024-11-27,114,-12556.096309016442,12197.882545326625
2024-11-27,115,-12238.628485027364,11880.492662051412
2024-11-27,116,-12910.302771304256,12552.547818440831
2024-11-27,117,-13198.190083947557,12842.455604511926
2024-11-27,118,-8929.462954281893,8563.289041232847
2024-11-27,119,-6735.16706765431,6366.97842617908
2024-11-27,120,-11322.471486675822,10958.977595080103
2024-11-27,121,-12027.610893408008,11673.32550395134
2024-11-27,122,-12750.408987399973,12394.685483424426
2024-11-27,123,-12321.827047874654,11963.716715741079
2024-11-27,124,-11963.689565833427,11603.744974365989
2024-11-27,125,-8374.957942366878,8007.531128718029
2024-11-27,126,-6076.929017268487,5701.206643129389
2024-11-27,127,-10885.758899466768,10532.267371445772
2024-11-27,128,-12016.098041401487,11662.800203266825
2024-11-27,129,-12848.50813221525,12488.719996115222
2024-11-27,130,-12257.869912642951,11903.727955424229
2024-11-27,131,-12644.534563896443,12292.854779259893
2024-11-27,132,-9193.806672290399,8817.559695076268
2024-11-27,133,-9028.996328658995,8649.38176928594
2024-11-27,134,-12819.638918545874,12460.695731650854
2024-11-27,135,-15356.474994914037,14993.885934933993
2024-11-27,136,-13360.652995013052,13000.14644917244
2024-11-27,137,-12151.53203320395,11794.026257253334
2024-11-27,138,-12738.441062390493,12381.917137394246
2024-11-27,139,-7767.844001942446,7410.415582134348
2024-11-27,140,-5909.507248237598,5537.35986806361
2024-11-27,141,-10862.736501243937,10497.422941789739
2024-11-27,142,-12519.153383535559,12164.926761765904
2024-11-27,143,-12350.827763651896,12002.523902443438
2024-11-27,144,-12560.279770537114,12199.981474442813
2024-11-27,145,-12857.251079262225,12496.564725867354
2024-11-27,146,-7870.622120339893,7494.707488884722
2024-11-27,147,-6631.839968214345,6259.423638106341
2024-11-27,148,-5883.3899085116145,5541.002319308583
2024-11-27,149,-10783.990403100557,10421.043413654565
2024-11-27,150,-12635.462409298809,12278.557469349824
2024-11-27,151,-13929.890369209894,13573.684217807491
2024-11-27,152,-14708.326025438852,14347.107962381886
2024-11-27,153,-11366.500757626229,11011.291722774911
2024-11-27,154,-8429.437826446416,8070.132561449368
