Date,Episode,Hour,Action,Battery_Energy,System_Loss
2024-12-02,2,9,"[0.6120597720146179, 0.9564798474311829, 0.9551149010658264, 0.3176507353782654, -0.184463232755661]",3.6,5.749750861706469
2024-12-02,2,10,"[0.5798900127410889, 0.9784072041511536, 0.9494457840919495, 0.6132144927978516, 0.029478544369339943]",3.6,6.301406808309322
2024-12-02,2,11,"[0.5482245087623596, 0.9807024002075195, 0.9772090315818787, 0.5881223082542419, -0.026528554037213326]",3.6,6.268206617242459
2024-12-02,2,12,"[0.5675674080848694, 0.9850775599479675, 0.9697510004043579, 0.6004753112792969, 0.05722612887620926]",3.6,5.862246465194408
2024-12-02,2,13,"[0.5800959467887878, 0.9834159016609192, 0.9366681575775146, 0.5603207349777222, 0.07894696295261383]",3.6,6.523145512485035
2024-12-02,2,14,"[0.4687199592590332, 0.9857414960861206, 0.9638973474502563, 0.6868088245391846, -0.007829967886209488]",3.6,6.728048376791264
2024-12-02,2,15,"[0.28746819496154785, 0.9897713661193848, 0.9690130949020386, 0.739288866519928, -0.05053228139877319]",3.6,6.164992874713642
2024-12-02,2,16,"[0.32956764101982117, 0.9846685528755188, 0.9754510521888733, 0.652452826499939, -0.10226534307003021]",3.6,5.873990054962752
2024-12-02,2,17,"[0.26747754216194153, 0.9742176532745361, 0.9757872223854065, 0.6235034465789795, -0.23405200242996216]",3.6,3.400901443261827
2024-12-02,2,18,"[0.46991926431655884, 0.9108961224555969, 0.8264371752738953, 0.5322859883308411, -0.018142839893698692]",3.6,2.258323687669778
2024-12-02,2,19,"[0.5571367144584656, 0.8473509550094604, 0.6985860466957092, 0.16959097981452942, -0.03487969934940338]",3.6,2.134893865646218
2024-12-02,2,20,"[0.5478441119194031, 0.7953133583068848, 0.6447575688362122, 0.19166019558906555, -0.04104391857981682]",3.6,1.916800245638373
2024-12-02,2,21,"[0.48305535316467285, 0.7856653332710266, 0.6221655011177063, 0.19196051359176636, 0.011491761542856693]",3.6,2.2851893992645866
2024-12-02,2,22,"[0.485991507768631, 0.8288107514381409, 0.7413651347160339, 0.23274557292461395, -0.10255345702171326]",3.6,2.4648558184182408
2024-12-02,2,23,"[0.5687219500541687, 0.8537082672119141, 0.8014494776725769, 0.2965523898601532, -0.16091375052928925]",3.6,2.180409981355909
2024-12-02,2,24,"[0.5937635898590088, 0.8145205974578857, 0.6897554993629456, 0.12186513841152191, -0.04190640151500702]",3.6,2.1210900616141166
2024-12-02,3,1,"[0.5460710525512695, 0.8457721471786499, 0.7343491315841675, 0.24426734447479248, -0.09817836433649063]",2.535149631500244,2.147477218810068
2024-12-02,3,2,"[0.551677405834198, 0.8501459360122681, 0.731498122215271, 0.2502313256263733, -0.1045578122138977]",3.0757934892177583,2.250269865462226
2024-12-02,3,3,"[0.5677124261856079, 0.8204755783081055, 0.6915361881256104, 0.2797228991985321, -0.09173633903265]",3.6,2.087663370257256
2024-12-02,3,4,"[0.6378553509712219, 0.8010093569755554, 0.7303605675697327, 0.07975250482559204, -0.06156734377145767]",3.6,2.147894182197267
2024-12-02,3,5,"[0.6625034213066101, 0.7879671454429626, 0.6677801012992859, 0.0969192385673523, -0.010131176561117172]",3.6,2.284958911843839
2024-12-02,3,6,"[0.5840335488319397, 0.8140406608581543, 0.6933535933494568, 0.1668061465024948, -0.022417647764086723]",3.6,2.566711782022841
2024-12-02,3,7,"[0.6202723979949951, 0.8573309779167175, 0.8061608672142029, 0.08052106201648712, -0.12049630284309387]",3.6,4.61196028296734
2024-12-02,3,8,"[0.6685572862625122, 0.9173542261123657, 0.9456847310066223, 0.22056668996810913, -0.21292753517627716]",3.6,5.6851483448198
2024-12-02,3,9,"[0.6192548274993896, 0.9493699669837952, 0.9593449831008911, 0.42966198921203613, -0.1174999251961708]",3.6,6.8095989057758874
2024-12-02,3,10,"[0.6456369757652283, 0.9772274494171143, 0.970905601978302, 0.5877301096916199, -0.09057667851448059]",3.6,7.432726283089551
2024-12-02,3,11,"[0.6678835153579712, 0.9867170453071594, 0.9606340527534485, 0.7013612985610962, 0.06164783239364624]",3.6,7.932551669191971
2024-12-02,3,12,"[0.7731718420982361, 0.9864732623100281, 0.9889148473739624, 0.706854522228241, 0.08681384474039078]",3.6,7.373483917295575
2024-12-02,3,13,"[0.725673258304596, 0.9861117005348206, 0.9629555344581604, 0.6418353915214539, 0.06950432062149048]",3.6,6.701587778902717
2024-12-02,3,14,"[0.7784264087677002, 0.9775598645210266, 0.9668245911598206, 0.7336596250534058, 0.16830243170261383]",3.6,6.487082470379935
2024-12-02,3,15,"[0.7222291827201843, 0.97984778881073, 0.9675077199935913, 0.6139886379241943, 0.06803294271230698]",3.6,5.961161986147408
2024-12-02,3,16,"[0.5429956316947937, 0.9769341945648193, 0.9519021511077881, 0.7608668804168701, 0.05923185497522354]",3.6,5.645575138645352
2024-12-02,3,17,"[0.6547102928161621, 0.9774388670921326, 0.9650537967681885, 0.7449569702148438, -0.019702015444636345]",3.6,4.8537498998338995
2024-12-02,3,18,"[0.6463699340820312, 0.944616973400116, 0.7919782996177673, 0.5519549250602722, 0.291098028421402]",3.6,4.359335702140336
2024-12-02,3,19,"[0.6792898178100586, 0.8923078775405884, 0.6439193487167358, 0.452173113822937, 0.2712993621826172]",3.6,3.8064954013322687
2024-12-02,3,20,"[0.6058143973350525, 0.8449891209602356, 0.628652036190033, 0.4943886697292328, 0.25684216618537903]",3.6,3.028285354418819
2024-12-02,3,21,"[0.49186593294143677, 0.8259376287460327, 0.649617075920105, 0.4261969029903412, 0.15746919810771942]",3.6,2.2188816571567713
2024-12-02,3,22,"[0.4969508647918701, 0.7828564047813416, 0.5759866237640381, 0.31275299191474915, 0.02195894904434681]",3.6,1.7419413514300408
2024-12-02,3,23,"[0.4576736390590668, 0.8054367899894714, 0.6411347985267639, 0.16571082174777985, -0.06390497833490372]",3.6,1.6724145812453348
2024-12-02,3,24,"[0.4717012941837311, 0.7747206687927246, 0.6003596782684326, 0.12108902633190155, -0.035294752568006516]",3.6,1.6761002718773883
2024-12-02,4,1,"[0.3808712959289551, 0.8219529986381531, 0.6805272698402405, 0.19549168646335602, -0.08088675141334534]",2.373253870010376,1.6843834508832431
2024-12-02,4,2,"[0.4846920371055603, 0.7701785564422607, 0.5813500285148621, 0.19475266337394714, -0.0490688718855381]",2.848252066373825,1.9271255227627124
2024-12-02,4,3,"[0.5455158948898315, 0.8018685579299927, 0.7287269234657288, 0.13269290328025818, -0.12259075790643692]",3.38285764336586,1.9520657629459413
2024-12-02,4,4,"[0.5099868774414062, 0.8069475889205933, 0.7648543119430542, 0.1823306828737259, -0.16812655329704285]",3.6,1.8514443592033905
2024-12-02,4,5,"[0.5617513060569763, 0.7906322479248047, 0.7012348771095276, 0.05723308026790619, -0.08310292661190033]",3.6,2.0232541838922886
2024-12-02,4,6,"[0.5586411952972412, 0.7879769802093506, 0.7382427453994751, 0.1561441868543625, -0.12920346856117249]",3.6,2.5039551078908158
2024-12-02,4,7,"[0.6791345477104187, 0.8405483365058899, 0.8047583103179932, 0.07504408061504364, -0.113380566239357]",3.6,4.202740315825061
2024-12-02,4,8,"[0.5823007822036743, 0.9192406535148621, 0.9047083258628845, 0.4095098674297333, -0.10057281702756882]",3.6,6.789242113995793
2024-12-02,4,9,"[0.6112434267997742, 0.9862951636314392, 0.9677179455757141, 0.524005115032196, -0.07471824437379837]",3.6,7.960501313060159
2024-12-02,4,10,"[0.5298519134521484, 0.992289662361145, 0.9875695109367371, 0.6919951438903809, -0.06188715249300003]",3.6,9.248360941296532
2024-12-02,4,11,"[0.482843279838562, 0.9945959448814392, 0.9810865521430969, 0.7527124285697937, -0.14750082790851593]",3.6,16.02903982024867
2024-12-02,4,12,"[0.6447488069534302, 0.9985186457633972, 0.9960640072822571, 0.9342899322509766, 0.019354384392499924]",3.6,14.393382484669047
2024-12-02,4,13,"[0.6127564311027527, 0.9980677962303162, 0.9952935576438904, 0.9500640034675598, 0.050893303006887436]",3.6,14.09704752674515
2024-12-02,4,14,"[0.6447563767433167, 0.9975181221961975, 0.9967391490936279, 0.8893166780471802, -0.13161255419254303]",3.6,14.241075221744719
2024-12-02,4,15,"[0.5993601083755493, 0.9984848499298096, 0.9948249459266663, 0.870832085609436, 0.010692918673157692]",3.6,14.203279851136873
2024-12-02,4,16,"[0.6427991986274719, 0.9970685839653015, 0.9974172711372375, 0.8839952945709229, -0.15380290150642395]",3.6,11.740141740075256
2024-12-02,4,17,"[0.7993845343589783, 0.9919365644454956, 0.9728235602378845, 0.8310830593109131, 0.10338034480810165]",3.6,8.645095024779991
2024-12-02,4,18,"[0.702653706073761, 0.9828267097473145, 0.9314829707145691, 0.6649066805839539, 0.14802168309688568]",3.6,7.382017364898049
2024-12-02,4,19,"[0.7295528650283813, 0.9594216346740723, 0.8831766843795776, 0.6070420145988464, 0.11166570335626602]",3.6,6.327172794619299
