Date,Episode,Total_Reward,Total_Loss
2024-12-03,1,-439.1045816251941,44.36323245887419
2024-12-03,2,-484.15020279950966,85.81336650300292
2024-12-03,3,-500.81957755884224,101.13173741671878
2024-12-03,4,-565.8359452654943,165.43598162513518
2024-12-03,5,-483.6248054581293,84.02789218530455
2024-12-03,6,-459.10570600371983,61.02811136813194
2024-12-03,7,-448.84150635819515,51.23591135812973
2024-12-03,8,-478.773876552184,80.94020120884409
2024-12-03,9,-476.78726747795605,79.48709887131812
2024-12-03,10,-494.09387087441087,95.20454960023507
2024-12-03,11,-489.9162152331629,91.30609751075217
2024-12-03,12,-496.41205948778867,96.7350286173253
2024-12-03,13,-459.5212701051946,61.27491010419461
2024-12-03,14,-438.505328588872,43.281464540895875
2024-12-03,15,-463.28332411356473,67.09378640069663
2024-12-03,16,-465.69279052649574,69.17841693784092
2024-12-03,17,-462.9308699268786,66.49268399784035
2024-12-03,18,-453.8176926393347,59.075426398160936
2024-12-03,19,-451.58330247026174,56.590384816050005
2024-12-03,20,-421.9646941274468,28.67981374073965
2024-12-03,21,-420.9127370052443,28.294722643492264
2024-12-03,22,-457.1490572466544,62.707646072128576
2024-12-03,23,-460.8554247322393,65.79619835993897
2024-12-03,24,-447.4798105356364,52.23813201076524
2024-12-03,25,-455.0868316837883,58.52696660070198
2024-12-03,26,-460.7857361995866,64.28259141682837
2024-12-03,27,-436.89047244048794,40.3159025472516
2024-12-03,28,-431.73827072439457,35.81418261856221
2024-12-03,29,-454.1211109914186,58.59542604762583
2024-12-03,30,-482.9514928524627,85.71672784576825
2024-12-03,31,-462.8704841435362,66.01802888896756
2024-12-03,32,-469.56131191737455,72.89965607356571
2024-12-03,33,-466.2940807563781,69.6242912482917
2024-12-03,34,-434.8538707194688,40.06100317056465
2024-12-03,35,-425.7965413345812,32.275903339289556
2024-12-03,36,-453.3544821106498,57.80539416008463
2024-12-03,37,-462.4181026759809,67.76471566690934
2024-12-03,38,-475.6041381536044,78.41619996556001
2024-12-03,39,-473.59549777978305,76.71617513875206
2024-12-03,40,-468.79346445280066,73.31191870662943
2024-12-03,41,-428.18211965792574,35.09273691724676
2024-12-03,42,-423.2155455554468,31.29211295462458
2024-12-03,43,-450.4822658173786,56.98820670887038
2024-12-03,44,-451.4100286657348,57.048138046344896
2024-12-03,45,-454.63568319055435,59.663238163804124
2024-12-03,46,-447.1715543830961,52.77123217103992
2024-12-03,47,-443.137688716215,51.02560734568462
2024-12-03,48,-416.41986483657575,25.821446428356047
2024-12-03,49,-409.89049275509507,20.005167631380885
2024-12-03,50,-439.1789674935148,47.24947683812868
2024-12-03,51,-443.9610721741748,51.45200425626868
2024-12-03,52,-453.1125166053394,59.31897388666042
2024-12-03,53,-454.438398072231,60.024762941429195
2024-12-03,54,-438.6576088655867,44.908736325970715
2024-12-03,55,-439.51171962579355,43.50996790530901
2024-12-03,56,-423.2025414893051,29.900593479784305
2024-12-03,57,-445.00639837268113,49.91942368625865
2024-12-03,58,-445.9572812096437,51.99881811846672
2024-12-03,59,-450.3562408360727,55.42821992165065
2024-12-03,60,-456.09237229644526,59.81167039659986
2024-12-03,61,-456.67730500209194,61.360989478250936
2024-12-03,62,-440.2552126528559,43.512599920896726
2024-12-03,63,-421.35066848605146,29.093359688186656
2024-12-03,64,-445.4281445920287,51.213600831943786
2024-12-03,65,-455.51163742535914,60.09457596927512
2024-12-03,66,-461.3990960141444,65.93681181371997
2024-12-03,67,-458.8283841734249,63.22921448794795
2024-12-03,68,-470.33066633646973,73.73513497395311
2024-12-03,69,-441.5900790690071,45.79050786651815
2024-12-03,70,-428.0231651524507,34.382725941385424
2024-12-03,71,-457.04824700627387,60.94875479368476
2024-12-03,72,-456.37799992485213,60.672116863571276
2024-12-03,73,-458.4620311572338,62.383180949641606
2024-12-03,74,-452.80397893498093,57.678871332173934
2024-12-03,75,-444.57953994673846,51.1913082963647
2024-12-03,76,-419.1971044272226,28.479054154596156
2024-12-03,77,-419.12990194960105,26.857700308027194
2024-12-03,78,-440.8013521000972,47.04345695043017
2024-12-03,79,-457.10419050981886,61.21529401757397
2024-12-03,80,-460.4581775297191,65.5689343319773
2024-12-03,81,-462.4058533925419,67.6146003500263
2024-12-03,82,-462.9697094134053,67.34180192168073
2024-12-03,83,-434.8204205232792,41.424185643276466
2024-12-03,84,-417.4509610288194,27.057872776734293
2024-12-03,85,-439.9011028549339,46.78942552513325
2024-12-03,86,-451.3278612972679,57.41287715928656
2024-12-03,87,-461.33301838059873,67.41353492012449
2024-12-03,88,-459.55449291117475,64.40483915990093
2024-12-03,89,-455.96138479898775,61.679540562146244
2024-12-03,90,-414.47104152005,25.670708020202593
2024-12-03,91,-412.7319319804418,23.700905343106367
2024-12-03,92,-441.230426838633,48.4415774083704
2024-12-03,93,-436.54639710407235,44.79693470218645
2024-12-03,94,-453.3717180080977,59.97731743761069
2024-12-03,95,-452.58273131526295,59.13405211999248
2024-12-03,96,-460.20882127385,66.22502704169497
2024-12-03,97,-418.9577546912389,27.858512319652647
2024-12-03,98,-408.96919526483,20.93042174432331
2024-12-03,99,-430.97376107226813,40.060220061492934
2024-12-03,100,-445.90051179091756,53.78064373253327
2024-12-03,101,-441.70291545123905,48.240363739036184
