Date,Episode,Total_Reward,Total_Loss
2024-12-02,45,-442.46841227480576,59.971429829423315
2024-12-02,46,-434.67616094607575,53.12528384671834
2024-12-02,47,-430.6219062533142,51.32645969311608
2024-12-02,48,-406.597073668403,25.959618421576007
2024-12-02,49,-403.0949500755289,20.058338307270386
2024-12-02,50,-428.53749365745637,47.51070908147281
2024-12-02,51,-432.72330526345456,51.719032160143996
2024-12-02,52,-441.22849581193293,59.658576811688164
2024-12-02,53,-442.0263146037623,60.35187650696308
2024-12-02,54,-428.41104950169046,45.10428366711004
2024-12-02,55,-427.9909780303223,43.72447992594081
2024-12-02,56,-414.6426359249924,30.01940524905945
2024-12-02,57,-432.9712076451944,50.18993980315416
2024-12-02,58,-433.34131051133573,52.32794416336459
2024-12-02,59,-437.4908032675978,55.77102825856076
2024-12-02,60,-443.50752884589144,60.160206296081135
2024-12-02,61,-445.217384792367,61.63569296822645
2024-12-02,62,-428.9317860255696,43.74400721611534
2024-12-02,63,-412.9470893339888,29.198191046070626
2024-12-02,64,-433.6257242902852,51.51916517906338
2024-12-02,65,-444.1711709253754,60.38687325310411
2024-12-02,66,-450.1765672472708,66.2407764857531
2024-12-02,67,-447.4604036922709,63.52643092907004
2024-12-02,68,-459.1066081639681,74.04605998799356
2024-12-02,69,-430.6566037230809,45.999858567686964
2024-12-02,70,-420.24786119259886,34.47999559781647
2024-12-02,71,-446.2989152197787,61.24297107278357
2024-12-02,72,-444.1248079513723,61.016966108625674
2024-12-02,73,-446.4488467980115,62.70828731405048
2024-12-02,74,-440.2024688399616,58.0107043943229
2024-12-02,75,-433.11925509364113,51.51766340718895
2024-12-02,76,-411.71107406834693,28.570588548336836
2024-12-02,77,-410.1463140941198,26.944805371128325
2024-12-02,78,-428.5642989637914,47.313900363261375
2024-12-02,79,-444.20732387401404,61.53232920353661
2024-12-02,80,-449.4617926825141,65.85137924185686
2024-12-02,81,-450.7438151179401,67.93714369468967
2024-12-02,82,-451.2335790049515,67.63962795307867
2024-12-02,83,-424.88509841448587,41.60021018011341
2024-12-02,84,-411.07413044697034,27.12796886189177
2024-12-02,85,-428.40480868357497,47.086466648136856
2024-12-02,86,-439.3656916157511,57.703455641723764
2024-12-02,87,-451.6872672586486,67.72227780634168
2024-12-02,88,-448.1761482620516,64.69773805853006
2024-12-02,89,-445.5604098119761,61.94955937311721
