Date,Episode,Total_Reward,Total_Loss
2024-12-03,1,-433.58479617875724,44.48507553736356
2024-12-03,2,-480.37986686032554,85.89109801005719
2024-12-03,3,-497.1020622853418,101.23347087089986
2024-12-03,4,-563.0163372209095,165.5121949942342
2024-12-03,5,-478.5191140716941,84.17641777879102
2024-12-03,6,-454.5153037723849,61.12727544138498
2024-12-03,7,-442.0357713143584,51.40392230840886
2024-12-03,8,-476.3264486941098,80.98581225736784
2024-12-03,9,-474.40170695613574,79.52941402395427
2024-12-03,10,-489.384422279781,95.31203314904505
2024-12-03,11,-486.7810701690947,91.37876582486527
2024-12-03,12,-493.45712203717926,96.81215419973553
2024-12-03,13,-454.34728840135426,61.41211015831736
2024-12-03,14,-432.5392570541289,43.42264430450488
2024-12-03,15,-462.31279551042866,67.09213291212853
2024-12-03,16,-464.7607233346063,69.18373263856111
2024-12-03,17,-460.29198326017024,66.53632348874706
2024-12-03,18,-451.2893273328152,59.09826692441059
2024-12-03,19,-448.61516367673823,56.62269415429678
2024-12-03,20,-417.14605849196874,28.747763595242542
2024-12-03,21,-413.60653803461724,28.41458388486605
2024-12-03,22,-455.2301275603726,62.71398502830169
2024-12-03,23,-458.4282007966886,65.81959107392224
2024-12-03,24,-444.5028773424006,52.285456909303555
2024-12-03,25,-452.9673269197492,58.55864101695517
2024-12-03,26,-458.05107870850884,64.32709567631679
2024-12-03,27,-432.2839640292885,40.41171887691315
2024-12-03,28,-426.40437003340185,35.91182667230473
2024-12-03,29,-452.898043225185,58.61218723936316
2024-12-03,30,-479.4991256736423,85.77371083064119
2024-12-03,31,-459.78970289664915,66.06906633754734
2024-12-03,32,-468.0758763810827,72.91777534487841
2024-12-03,33,-464.4471541803477,69.65817715793399
2024-12-03,34,-431.0236125194149,40.13850104072921
2024-12-03,35,-420.1656565205788,32.35122832247168
2024-12-03,36,-451.8295176374408,57.83101588762343
2024-12-03,37,-460.6884632285317,67.77159125016307
2024-12-03,38,-472.4802266486324,78.48440306744753
2024-12-03,39,-470.5176305660728,76.78082810284891
2024-12-03,40,-466.5667597522354,73.33997352578223
2024-12-03,41,-424.1653125700695,35.150776056867294
2024-12-03,42,-417.34723502553567,31.39836778684072
2024-12-03,43,-449.68261456004325,56.97838840287014
2024-12-03,44,-449.1277260117892,57.06691240796757
2024-12-03,45,-451.8270746064312,59.69775925820191
2024-12-03,46,-444.91615145207373,52.79049812200221
2024-12-03,47,-442.84495959254104,50.989059716841936
2024-12-03,48,-411.719095999352,25.881949825732576
2024-12-03,49,-401.6763844807836,20.411118647094074
2024-12-03,50,-437.1718264806662,47.2480593914646
2024-12-03,51,-441.67837950211566,51.458060269897224
2024-12-03,52,-449.4536712396466,59.348910728701554
2024-12-03,53,-451.52758138415163,60.041011496950496
2024-12-03,54,-436.062610087822,44.94806859702516
2024-12-03,55,-432.7724481410485,43.64949178669326
2024-12-03,56,-417.4499000481203,29.998774039012865
2024-12-03,57,-443.55241757013124,49.93659840236886
2024-12-03,58,-444.7251174969818,51.990524744119924
2024-12-03,59,-447.3942230087045,55.438952063685996
2024-12-03,60,-452.97427320742645,59.86412010178964
2024-12-03,61,-453.81613726428515,61.35890018144533
2024-12-03,62,-435.0550294664628,43.608991630846326
2024-12-03,63,-414.0021934683259,29.226716142485518
2024-12-03,64,-442.1823262827521,51.244348296519455
2024-12-03,65,-451.3994707210466,60.1527426008988
2024-12-03,66,-457.79436495620433,65.97077383857226
2024-12-03,67,-455.1155919276837,63.28767351770759
2024-12-03,68,-466.4045249412861,73.79368338245321
2024-12-03,69,-434.74937302425985,45.93429866871341
2024-12-03,70,-419.2070721775135,34.549308920635895
2024-12-03,71,-453.3405621402167,61.01721720876468
2024-12-03,72,-453.3955909137731,60.72138511774826
2024-12-03,73,-454.80660390254366,62.43815866809435
2024-12-03,74,-449.82229570936147,57.71446017337594
2024-12-03,75,-442.92404185137593,51.18100651753132
2024-12-03,76,-414.06759777222277,28.5611785125134
2024-12-03,77,-411.29456550258004,26.970457332685523
